,Country,Currency,Technology,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
27,Australia,USD (2022 prices and PPP),Energy efficiency,..,..,..,..,..,0,17.425,20.543,..,31.103,..,19.062,..,10.164,..,10.605,..,..,..,9.862,..,19.801,..,14.024,..,12.784,..,17.158,..,15.941,55.617,34.994,31.68,34.397,41.064,36.695,116.705,84.195,60.987,60.206,24.891,24.823,17.923,22.648,25.914,35.343,23.215,33.487,39.157,14.645
28,Australia,USD (2022 prices and PPP),Fossil fuels,..,..,..,..,..,47.606,66.957,77.044,..,107.575,..,74.586,..,63.509,..,70.854,..,..,..,100.176,..,85.782,..,157.011,..,120.847,..,118.623,..,97.832,61.939,58.481,67.806,71.657,67.621,280.013,198.164,222.995,336.292,274.227,130.485,54.287,35.342,54.694,56.115,52.255,37.238,33.31,92.37,50.517
29,Australia,USD (2022 prices and PPP),Renewables,..,..,..,..,..,22.827,32.139,39.797,..,31.392,..,20.398,..,1.972,..,9.004,..,..,..,16.209,..,7.616,..,11.316,..,18.248,..,19.403,..,19.041,44.493,31.666,40.569,49.041,43.155,82.625,86.847,168.194,218.791,434.847,79.062,127.647,46.911,55.175,52.414,57.865,31.293,44.526,54.922,52.81
30,Australia,USD (2022 prices and PPP),Nuclear,..,..,..,..,..,0,0,0,..,36.299,..,22.986,..,39.899,..,36.049,..,..,..,1.705,..,11.132,..,1.639,..,4.867,..,5.33,..,1.586,35.133,23.875,18.403,15.7,24.471,2.704,2.638,5.184,9.861,7.469,6.602,7.685,14.653,8.071,6.924,7.478,7.768,11.049,11.993,12.701
31,Australia,USD (2022 prices and PPP),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.343,0,0.209,0.658,0.313,1.146,2.147,2.136,0.192,1.558,3.415,3.497,3.242,4.735,25.427,38.03,34.909,58.66,102.901,101.903
32,Australia,USD (2022 prices and PPP),Other power and storage technologies,..,..,..,..,..,0,6.26,6.945,..,12.028,..,8.409,..,2.029,..,18.623,..,..,..,12.22,..,9.609,..,8.965,..,16.052,..,10.335,..,7.384,11.033,13.055,13.822,13.828,13.454,15.963,12.191,10.135,16.152,20.198,8.988,14.155,15.6,13.667,16.036,30.15,16.318,43.574,43.674,24.246
33,Australia,USD (2022 prices and PPP),Other cross-cutting technologies/research,..,..,..,..,..,0,11.746,15.679,..,13.928,..,0.539,..,0.778,..,3.168,..,..,..,23.491,..,31.588,..,24.887,..,12.283,..,24.194,..,37.774,150.349,92.811,104.798,122.143,122.815,9.653,10.471,7.087,12.851,7.874,0.184,1.851,2.146,2.071,1.877,14.265,26.936,37.762,47.264,33.776
34,Australia,USD (2022 prices and PPP),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.485,2.196,5.891,2.769,2.091,0,0,0,0,0
35,Australia,USD (2022 prices and PPP),Total Budget,..,..,..,..,..,70.433,134.527,160.009,..,232.302,..,145.98,..,118.332,..,148.304,..,..,..,163.663,..,165.528,..,217.842,..,185.081,..,195.042,..,179.559,358.908,254.882,277.285,307.422,312.891,428.798,429.163,499.926,655.125,806.379,260.112,236.141,141.707,163.83,186.799,235.385,177.679,262.368,392.28,290.598
36,Australia,Euro (2022 prices and exchange rates),Energy efficiency,..,..,..,..,..,0,17.272,20.363,..,30.831,..,18.895,..,10.075,..,10.512,..,..,..,9.776,..,19.628,..,13.902,..,12.672,..,17.007,..,15.801,55.13,34.688,31.403,34.095,40.705,36.374,115.683,83.458,60.453,59.679,24.673,24.605,17.766,22.45,25.687,35.033,23.012,33.194,38.814,14.516
37,Australia,Euro (2022 prices and exchange rates),Fossil fuels,..,..,..,..,..,47.189,66.371,76.37,..,106.633,..,73.933,..,62.952,..,70.233,..,..,..,99.299,..,85.03,..,155.635,..,119.789,..,117.584,..,96.976,61.397,57.969,67.212,71.029,67.029,277.56,196.429,221.042,333.347,271.825,129.343,53.812,35.032,54.215,55.623,51.797,36.912,33.018,91.561,50.075
38,Australia,Euro (2022 prices and exchange rates),Renewables,..,..,..,..,..,22.627,31.858,39.448,..,31.117,..,20.22,..,1.955,..,8.925,..,..,..,16.067,..,7.549,..,11.217,..,18.088,..,19.233,..,18.874,44.103,31.389,40.214,48.611,42.777,81.901,86.086,166.721,216.874,431.038,78.37,126.529,46.5,54.691,51.955,57.358,31.019,44.136,54.441,52.348
39,Australia,Euro (2022 prices and exchange rates),Nuclear,..,..,..,..,..,0,0,0,..,35.982,..,22.785,..,39.55,..,35.734,..,..,..,1.691,..,11.034,..,1.625,..,4.824,..,5.284,..,1.572,34.825,23.666,18.241,15.563,24.257,2.681,2.615,5.139,9.775,7.404,6.544,7.618,14.525,8,6.864,7.413,7.7,10.953,11.888,12.59
40,Australia,Euro (2022 prices and exchange rates),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,0,0.207,0.652,0.31,1.136,2.128,2.117,0.19,1.544,3.385,3.466,3.213,4.694,25.205,37.697,34.604,58.146,102,101.01
41,Australia,Euro (2022 prices and exchange rates),Other power and storage technologies,..,..,..,..,..,0,6.205,6.885,..,11.922,..,8.336,..,2.011,..,18.46,..,..,..,12.113,..,9.525,..,8.886,..,15.911,..,10.244,..,7.32,10.936,12.94,13.7,13.707,13.336,15.823,12.084,10.047,16.01,20.021,8.909,14.031,15.463,13.548,15.896,29.886,16.175,43.193,43.292,24.033
42,Australia,Euro (2022 prices and exchange rates),Other cross-cutting technologies/research,..,..,..,..,..,0,11.643,15.541,..,13.806,..,0.534,..,0.771,..,3.141,..,..,..,23.285,..,31.311,..,24.669,..,12.175,..,23.982,..,37.444,149.032,91.998,103.88,121.073,121.739,9.568,10.379,7.025,12.738,7.805,0.182,1.835,2.127,2.053,1.861,14.14,26.701,37.431,46.85,33.48
43,Australia,Euro (2022 prices and exchange rates),Unallocated,..,..,..,..,..,0,0,0,..,0,..,0,..,0,..,0,..,..,..,0,..,0,..,0,..,0,..,0,..,0,0,0,0,0,0,0,0,0,0,0,6.428,2.177,5.839,2.744,2.073,0,0,0,0,0
44,Australia,Euro (2022 prices and exchange rates),Total Budget,..,..,..,..,..,69.816,133.349,158.607,..,230.267,..,144.702,..,117.295,..,147.005,..,..,..,162.23,..,164.078,..,215.934,..,183.46,..,193.334,..,177.986,355.765,252.649,274.857,304.729,310.151,425.043,425.404,495.548,649.387,799.317,257.834,234.073,140.466,162.395,185.163,233.323,176.123,260.07,388.845,288.053
45,Austria,National currency (nominal),Energy efficiency,..,..,..,5.543,6.498,6.251,8.519,7.594,9.307,7.437,11.442,10.324,9.534,6.861,9.338,4.666,4.484,5.607,4.865,7.465,9.449,8.772,8.946,8.518,6.841,7.629,7.153,9.149,7.919,5.066,9.825,9.809,9.989,7.68,23.531,37.434,55.678,63.699,55.4,55.562,61.738,56.957,66.321,65.747,66.865,74.92,76.768,95.976,..,..
46,Austria,National currency (nominal),Fossil fuels,..,..,..,0.476,0.74,1.6,0.201,1.155,3.271,1.384,1.874,2.346,0.385,0.634,0.738,0.49,0.153,0.796,1.089,1.292,0.831,0.781,1.671,1.695,0.59,0.649,0.445,0.633,0.411,0.461,0.451,0.226,0.925,0.878,2.71,0.496,0.911,1.111,1.283,5.072,0.617,4.43,1.507,2.359,0.6,1.491,1.651,0.784,..,..
47,Austria,National currency (nominal),Renewables,..,..,..,3.13,4.294,5.132,6.51,5.256,5.333,6.178,3.34,3.334,2.593,2.608,4.219,2.4,1.653,3.927,3.498,4.903,6.503,7.833,6.138,7.441,9.824,9.265,6.535,7.926,9.681,9.913,9.544,12.107,13.84,14.82,24.465,32.569,33.637,32.773,28.22,29.477,32.413,22.119,30.487,21.354,23.19,23.506,21.512,20.484,..,..
48,Austria,National currency (nominal),Nuclear,..,..,..,5.192,5.569,4.456,4.181,4.533,4.885,6.862,6.97,6.82,2.363,2.182,1.891,1.711,0.849,2.092,1.682,2.104,1.568,1.587,1.394,1.682,2.378,2.952,2.705,3.356,3.466,2.907,3.229,3.334,3.676,3.287,4.453,2.982,3.067,2.627,2.518,2.538,1.51,1.302,1.518,1.215,1.829,1.604,1.568,1.562,..,..
49,Austria,National currency (nominal),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,1.867,6.436,1.161,2.368,2.644,3.528,2.167,3.766,3.9,8.215,1.696,3.164,4.628,8.079,9.368,8.678,41.133,..,..
50,Austria,National currency (nominal),Other power and storage technologies,..,..,..,4.118,3.304,2.175,4.226,4.59,4.31,3.572,4.553,5,4.139,4.163,4.95,3.572,2.299,4.495,2.917,3.151,4.144,3.548,4.167,3.678,4.168,3.03,3.22,4.605,3.789,3.948,7.517,3.89,3.586,2.272,5.195,6.483,17.585,12.231,22.922,22.031,35.289,35.88,31.005,37.201,28.972,20.538,32.364,45.079,..,..
51,Austria,National currency (nominal),Other cross-cutting technologies/research,..,..,..,1.373,5.663,3.22,2.267,2.409,2.553,3.85,5.367,5.099,1.831,2.165,2.035,0.796,0.562,0.887,1.259,1.932,1.094,1.612,1.979,2.717,3.585,3,3.263,4.202,3.914,2.688,2.968,2.367,3.947,1.788,8.445,9.662,6.573,6.215,5.992,5.975,3.32,6.031,6.891,6.836,21.867,17.68,12.642,19.049,..,..
52,Austria,National currency (nominal),Unallocated,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
53,Austria,National currency (nominal),Total Budget,..,..,..,19.832,26.068,22.835,25.903,25.537,29.659,29.282,33.547,32.924,20.845,18.612,23.171,13.636,9.999,17.802,15.311,20.847,23.589,24.132,24.295,25.732,27.386,26.527,23.322,29.872,29.18,24.982,33.534,33.6,42.399,31.886,71.167,92.27,120.979,120.823,120.101,124.555,143.101,128.415,140.894,139.34,151.402,149.107,155.183,224.067,..,..
54,Austria,National currency (2022 prices),Energy efficiency,..,..,..,17.591,19.456,17.977,23.204,19.411,22.585,17.411,25.6,22.408,20.149,14.2,18.223,8.843,8.251,9.955,8.347,12.464,15.389,14.031,14.174,13.327,10.656,11.853,10.964,13.756,11.772,7.433,14.17,13.797,13.789,10.371,31.167,48.662,71.752,80.611,68.697,67.798,73.729,66.49,76.016,74.608,74.507,82.211,82.137,100.731,..,..
55,Austria,National currency (2022 prices),Fossil fuels,..,..,..,1.511,2.216,4.601,0.547,2.952,7.938,3.24,4.193,5.092,0.814,1.312,1.44,0.929,0.282,1.413,1.868,2.157,1.353,1.249,2.648,2.652,0.919,1.008,0.682,0.952,0.611,0.676,0.65,0.318,1.277,1.186,3.589,0.645,1.174,1.406,1.591,6.189,0.737,5.171,1.727,2.677,0.669,1.636,1.766,0.823,..,..
56,Austria,National currency (2022 prices),Renewables,..,..,..,9.933,12.857,14.759,17.732,13.435,12.942,14.463,7.473,7.237,5.48,5.398,8.233,4.549,3.042,6.972,6.002,8.187,10.591,12.529,9.725,11.642,15.303,14.395,10.017,11.917,14.391,14.546,13.765,17.029,19.105,20.013,32.404,42.338,43.348,41.474,34.993,35.968,38.709,25.821,34.944,24.232,25.841,25.794,23.017,21.499,..,..
57,Austria,National currency (2022 prices),Nuclear,..,..,..,16.477,16.674,12.815,11.388,11.587,11.854,16.065,15.595,14.803,4.994,4.516,3.69,3.243,1.562,3.714,2.886,3.513,2.554,2.538,2.209,2.632,3.704,4.587,4.146,5.046,5.152,4.265,4.657,4.689,5.074,4.439,5.898,3.876,3.952,3.324,3.122,3.097,1.803,1.52,1.74,1.379,2.038,1.76,1.678,1.639,..,..
58,Austria,National currency (2022 prices),Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,2.626,8.884,1.568,3.136,3.437,4.547,2.742,4.67,4.759,9.811,1.98,3.627,5.252,9.002,10.28,9.285,43.171,..,..
59,Austria,National currency (2022 prices),Other power and storage technologies,..,..,..,13.069,9.893,6.255,11.511,11.732,10.459,8.362,10.187,10.853,8.747,8.616,9.66,6.77,4.23,7.98,5.005,5.261,6.749,5.675,6.602,5.755,6.493,4.708,4.936,6.924,5.632,5.793,10.841,5.471,4.95,3.068,6.881,8.428,22.662,15.478,28.424,26.883,42.143,41.885,35.538,42.215,32.283,22.537,34.628,47.313,..,..
60,Austria,National currency (2022 prices),Other cross-cutting technologies/research,..,..,..,4.357,16.956,9.26,6.175,6.158,6.195,9.013,12.008,11.067,3.87,4.481,3.971,1.509,1.034,1.575,2.16,3.226,1.782,2.578,3.136,4.251,5.584,4.661,5.002,6.318,5.818,3.944,4.281,3.329,5.449,2.415,11.185,12.56,8.471,7.865,7.43,7.291,3.965,7.04,7.898,7.757,24.366,19.401,13.526,19.993,..,..
61,Austria,National currency (2022 prices),Unallocated,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
62,Austria,National currency (2022 prices),Total Budget,..,..,..,62.938,78.051,65.669,70.555,65.275,71.974,68.552,75.058,71.462,44.053,38.52,45.218,25.844,18.399,31.606,26.27,34.808,38.417,38.6,38.494,40.26,42.66,41.215,35.749,44.914,43.376,36.657,48.364,47.26,58.529,43.059,94.261,119.947,155.906,152.901,148.928,151.984,170.895,149.908,161.491,158.12,168.707,163.618,166.037,235.169,..,..
